,code
790,-5442.0
791,-5461.0
792,-5553.0
793,-5722.0
794,-5890.0
795,-5981.0
796,-5994.0
797,-5937.0
798,-5785.0
799,-5532.0
800,-5233.0
801,-4915.0
802,-4538.0
803,-4056.0
804,-3490.0
805,-2906.0
806,-2316.0
807,-1694.0
808,-1058.0
809,-442.0
810,153.0
811,752.0
812,1368.0
813,1970.0
814,2537.0
815,3056.0
816,3518.0
817,3889.0
818,4133.0
819,4254.0
820,4285.0
821,4211.0
822,3973.0
823,3574.0
824,3073.0
825,2516.0
826,1915.0
827,1310.0
828,776.0
829,366.0
830,43.0
831,-336.0
832,-497.0
833,-550.0
834,-526.0
835,-438.0
836,-282.0
837,-68.0
838,167.0
839,384.0
840,598.0
841,804.0
842,951.0
843,1010.0
844,992.0
845,902.0
846,687.0
847,320.0
848,-168.0
849,-726.0
850,-1285.0
851,-1822.0
852,-2336.0
853,-2810.0
854,-3218.0
855,-3534.0
856,-3758.0
857,-3863.0
858,-3834.0
859,-3683.0
860,-3435.0
861,-3115.0
862,-2741.0
863,-2318.0
864,-1868.0
865,-1394.0
866,-914.0
867,-425.0
868,77.0
869,561.0
870,1013.0
871,1447.0
872,1879.0
873,2291.0
874,2675.0
875,3043.0
876,3382.0
877,3658.0
878,3888.0
879,4103.0
880,4308.0
881,4493.0
882,4651.0
883,4808.0
884,4972.0
885,5139.0
886,5311.0
887,5501.0
888,5742.0
889,6031.0
890,6357.0
891,6679.0
892,6983.0
893,7252.0
894,7461.0
895,7578.0
896,7600.0
897,7568.0
898,7501.0
899,7380.0
900,7182.0
901,6900.0
902,6532.0
903,6037.0
904,5412.0
905,4704.0
906,3916.0
907,3016.0
908,2026.0
909,1047.0
910,112.0
911,-783.0
912,-1588.0
913,-2262.0
914,-2787.0
915,-3176.0
916,-3458.0
917,-3661.0
918,-3806.0
919,-3865.0
920,-3855.0
921,-3789.0
922,-3658.0
923,-3509.0
924,-3397.0
925,-3311.0
926,-3223.0
927,-3157.0
928,-3133.0
929,-3131.0
930,-3175.0
931,-3298.0
932,-3481.0
933,-3693.0
934,-3943.0
935,-4186.0
936,-4383.0
937,-4556.0
938,-4740.0
939,-4931.0
940,-5120.0
941,-5325.0
942,-5494.0
943,-5570.0
944,-5590.0
945,-5592.0
946,-5565.0
947,-5485.0
948,-5366.0
949,-5214.0
950,-5024.0
951,-4823.0
952,-4624.0
953,-4428.0
954,-4228.0
955,-4020.0
956,-3825.0
957,-3662.0
958,-3524.0
959,-3384.0
960,0.0
961,38.0
962,44.0
963,48.0
964,45.0
965,47.0
966,46.0
967,35.0
968,28.0
969,28.0
970,21.0
971,7.0
972,-2.0
973,-2.0
974,-15.0
975,-27.0
976,-29.0
977,-25.0
978,-42.0
979,-51.0
980,-52.0
981,-45.0
982,-49.0
983,-56.0
984,-49.0
985,-39.0
986,-40.0
987,-36.0
988,-23.0
989,-14.0
990,-16.0
991,-14.0
992,-1.0
993,6.0
994,5.0
995,7.0
996,22.0
997,24.0
998,14.0
